#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot              
       1.298710697090e-04      -1.024649068684e-01      -7.984120897276e-02      -7.984168352737e-02      -1.023073075711e-01      -7.985671073471e-02 
       1.328961555332e-04      -1.070998459369e-01      -8.360329269176e-02      -8.360381280549e-02      -1.069272830944e-01      -8.361941307941e-02 
       1.359917046582e-04      -1.119348757537e-01      -8.754260906320e-02      -8.754317909899e-02      -1.117459411124e-01      -8.755936667148e-02 
       1.391593583850e-04      -1.169777115617e-01      -9.166750420728e-02      -9.166812894337e-02      -1.167708661230e-01      -9.168491752318e-02 
       1.424007962457e-04      -1.222362755579e-01      -9.598671690169e-02      -9.598740157428e-02      -1.220098368353e-01      -9.600480421242e-02 
       1.457177368934e-04      -1.277186885624e-01      -1.005093971300e-01      -1.005101474669e-01      -1.274708210641e-01      -1.005281764065e-01 
       1.491119390141e-04      -1.334332737344e-01      -1.052451253107e-01      -1.052459475978e-01      -1.331619688484e-01      -1.052646141053e-01 
       1.525852022585e-04      -1.393885356456e-01      -1.102039326080e-01      -1.102048337140e-01      -1.390916039325e-01      -1.102241478933e-01 
       1.561393681968e-04      -1.455931656338e-01      -1.153963218909e-01      -1.153973093495e-01      -1.452682134975e-01      -1.154172799313e-01 
       1.597763212950e-04      -1.520560196934e-01      -1.208332901094e-01      -1.208343721633e-01      -1.517004359981e-01      -1.208550062747e-01 
       1.634979899135e-04      -1.587861151600e-01      -1.265263514246e-01      -1.265275371121e-01      -1.583970467722e-01      -1.265488400175e-01 
       1.673063473305e-04      -1.657926036135e-01      -1.324875613974e-01      -1.324888606004e-01      -1.653669409534e-01      -1.325108354178e-01 
       1.712034127874e-04      -1.730847628727e-01      -1.387295424583e-01      -1.387309659937e-01      -1.726191140624e-01      -1.387536133783e-01 
       1.751912525599e-04      -1.806719726879e-01      -1.452655104766e-01      -1.452670701837e-01      -1.801626395416e-01      -1.452903879786e-01 
       1.792719810534e-04      -1.885636918421e-01      -1.521093025907e-01      -1.521110114251e-01      -1.880066431302e-01      -1.521349942760e-01 
       1.834477619243e-04      -1.967694443356e-01      -1.592754062742e-01      -1.592772784622e-01      -1.961602737855e-01      -1.593019173905e-01 
       1.877208092267e-04      -2.052987508522e-01      -1.667789900596e-01      -1.667810411175e-01      -2.046326709500e-01      -1.668063230569e-01 
       1.920933885870e-04      -2.141611377293e-01      -1.746359352136e-01      -1.746381821416e-01      -2.134329275393e-01      -1.746640894205e-01 
       1.965678184045e-04      -2.233660666344e-01      -1.828628690879e-01      -1.828653304621e-01      -2.225700485621e-01      -1.828918402397e-01 
       2.011464710812e-04      -2.329229279828e-01      -1.914772003937e-01      -1.914798965946e-01      -2.320529053212e-01      -1.915069802377e-01 
       2.058317742794e-04      -2.428409500161e-01      -2.004971554718e-01      -2.005001087779e-01      -2.418901840502e-01      -2.005277311837e-01 
       2.106262122089e-04      -2.531291575454e-01      -2.099418167444e-01      -2.099450514873e-01      -2.520903291779e-01      -2.099731703392e-01 
       2.155323269440e-04      -2.637963416202e-01      -2.198311626899e-01      -2.198347055202e-01      -2.626614809305e-01      -2.198632704710e-01 
       2.205527197717e-04      -2.748509712289e-01      -2.301861098245e-01      -2.301899899293e-01      -2.736114062403e-01      -2.302189417088e-01 
       2.256900525709e-04      -2.863010940451e-01      -2.410285566479e-01      -2.410328058520e-01      -2.849474233202e-01      -2.410620753051e-01 
       2.309470492232e-04      -2.981543037380e-01      -2.523814294400e-01      -2.523860825404e-01      -2.966763192116e-01      -2.524155895609e-01 
       2.363264970581e-04      -3.104176601287e-01      -2.642687302332e-01      -2.642738253616e-01      -3.088042591252e-01      -2.643034777340e-01 
       2.418312483298e-04      -3.230975518609e-01      -2.767155872217e-01      -2.767211660557e-01      -3.213366886879e-01      -2.767508582058e-01 
       2.474642217304e-04      -3.361996016161e-01      -2.897483075641e-01      -2.897544155999e-01      -3.342782273413e-01      -2.897840272332e-01 
       2.532284039369e-04      -3.497285708545e-01      -3.033944319948e-01      -3.034011189094e-01      -3.476325535325e-01      -3.034305135306e-01 
       2.591268511951e-04      -3.636882802650e-01      -3.176827924290e-01      -3.176901126458e-01      -3.614022804660e-01      -3.177191359418e-01 
       2.651626909397e-04      -3.780813684768e-01      -3.326435729574e-01      -3.326515857535e-01      -3.755888224009e-01      -3.326800638752e-01 
       2.713391234529e-04      -3.929092950838e-01      -3.483083717794e-01      -3.483171420356e-01      -3.901922525842e-01      -3.483448797003e-01 
       2.776594235609e-04      -4.081720699339e-01      -3.647102679668e-01      -3.647198664462e-01      -4.052111497301e-01      -3.647466449198e-01 
       2.841269423706e-04      -4.238681910704e-01      -3.818838899745e-01      -3.818943940345e-01      -4.206424353532e-01      -3.819199689309e-01 
       2.907451090460e-04      -4.399944276896e-01      -3.998654880251e-01      -3.998769821584e-01      -4.364812029597e-01      -3.999010810844e-01 
       2.975174326267e-04      -4.565455687568e-01      -4.186930099798e-01      -4.187055861278e-01      -4.527205341278e-01      -4.187279061633e-01 
       3.044475038883e-04      -4.735144293445e-01      -4.384061793556e-01      -4.384199380389e-01      -4.693513088631e-01      -4.384401429872e-01 
       3.115389972462e-04      -4.908915027282e-01      -4.590465785281e-01      -4.590616294287e-01      -4.863620041952e-01      -4.590793469047e-01 
       3.187956727042e-04      -5.086648096543e-01      -4.806577351981e-01      -4.806741980299e-01      -5.037384856729e-01      -4.806890163275e-01 
       3.262213778477e-04      -5.268195666491e-01      -5.032852128118e-01      -5.033032177341e-01      -5.214637921510e-01      -5.033146825160e-01 
       3.338200498837e-04      -5.453382467460e-01      -5.269767041857e-01      -5.269963935123e-01      -5.395179128921e-01      -5.270040041957e-01 
       3.415957177288e-04      -5.642000284831e-01      -5.517821315440e-01      -5.518036601036e-01      -5.578775606581e-01      -5.518068661109e-01 
       3.495525041450e-04      -5.833807664168e-01      -5.777537490692e-01      -5.777772855363e-01      -5.765159422876e-01      -5.777754822504e-01 
       3.576946279257e-04      -6.028527690782e-01      -6.049462509233e-01      -6.049719792854e-01      -5.954025275394e-01      -6.049645037605e-01 
       3.660264061329e-04      -6.225844195944e-01      -6.334168846894e-01      -6.334450050993e-01      -6.145028210394e-01      -6.334311315786e-01 
       3.745522563855e-04      -6.425399737055e-01      -6.632255701500e-01      -6.632563000473e-01      -6.337781374487e-01      -6.632352352189e-01 
       3.832766992022e-04      -6.626796883668e-01      -6.944350198335e-01      -6.944685967448e-01      -6.531853896933e-01      -6.944394746456e-01 
       3.922043603981e-04      -6.829588865068e-01      -7.271108727548e-01      -7.271475538931e-01      -6.726768845185e-01      -7.271094307996e-01 
       4.013399735374e-04      -7.033286987951e-01      -7.613218247395e-01      -7.613618910425e-01      -6.922001401854e-01      -7.613137398212e-01 
       4.106883824429e-04      -7.237348977230e-01      -7.971397736151e-01      -7.971835293399e-01      -7.116977279866e-01      -7.971242338936e-01 
       4.202545437650e-04      -7.441185087988e-01      -8.346399639541e-01      -8.346877398532e-01      -7.311071413558e-01      -8.346160891140e-01 
       4.300435296088e-04      -7.644154607983e-01      -8.739011424562e-01      -8.739532981758e-01      -7.503607040080e-01      -8.738679799528e-01 
       4.400605302244e-04      -7.845563546380e-01      -9.150057187462e-01      -9.150626443642e-01      -7.693855251016e-01      -9.149622391148e-01 
       4.503108567580e-04      -8.044665393042e-01      -9.580399344120e-01      -9.581020530210e-01      -7.881035054488e-01      -9.579850273769e-01 
       4.607999440684e-04      -8.240661466873e-01      -1.003094038942e+00      -1.003161808911e+00      -8.064314093710e-01      -1.003026509170e+00 
       4.715333536085e-04      -8.432703504720e-01      -1.050262472198e+00      -1.050336390811e+00      -8.242810119429e-01      -1.050181036234e+00 
       4.825167763743e-04      -8.619895272112e-01      -1.099644058508e+00      -1.099724665502e+00      -8.415593283292e-01      -1.099547341622e+00 
       4.937560359217e-04      -8.801287431711e-01      -1.151342208671e+00      -1.151430086103e+00      -8.581689477446e-01      -1.151228738363e+00 
       5.052570914550e-04      -8.975896105146e-01      -1.205465125168e+00      -1.205560904801e+00      -8.740084692427e-01      -1.205333331728e+00 
       5.170260409860e-04      -9.142691621078e-01      -1.262126028798e+00      -1.262230391635e+00      -8.889730661089e-01      -1.261974238805e+00 
       5.290691245677e-04      -9.300620545088e-01      -1.321443378266e+00      -1.321557062611e+00      -9.029551872324e-01      -1.321269816194e+00 
       5.413927276022e-04      -9.448597055436e-01      -1.383541119337e+00      -1.383664920277e+00      -9.158454037058e-01      -1.383343901647e+00 
       5.540033842271e-04      -9.585525893051e-01      -1.448548929327e+00      -1.448683705958e+00      -9.275334180726e-01      -1.448326066112e+00 
       5.669077807794e-04      -9.710302582119e-01      -1.516602478989e+00      -1.516749156261e+00      -9.379092533233e-01      -1.516351871244e+00 
       5.801127593410e-04      -9.821837071233e-01      -1.587843704133e+00      -1.588003280932e+00      -9.468646157582e-01      -1.587563147403e+00 
       5.936253213663e-04      -9.919053972874e-01      -1.662421097379e+00      -1.662594646889e+00      -9.542944551108e-01      -1.662108279145e+00 
       6.074526313946e-04      -1.000091862507e+00      -1.740489997164e+00      -1.740678673322e+00      -9.600987227125e-01      -1.740142500684e+00 
       6.216020208486e-04      -1.006645791159e+00      -1.822212900615e+00      -1.822417946118e+00      -9.641843230428e-01      -1.821828211220e+00 
       6.360809919219e-04      -1.011476680641e+00      -1.907759794444e+00      -1.907982540988e+00      -9.664672613327e-01      -1.907335299913e+00 
       6.508972215567e-04      -1.014504299043e+00      -1.997308487028e+00      -1.997550363104e+00      -9.668749781911e-01      -1.996841486119e+00 
       6.660585655139e-04      -1.015660234748e+00      -2.091044966955e+00      -2.091307501049e+00      -9.653488503424e-01      -2.090532675118e+00 
       6.815730625390e-04      -1.014891927031e+00      -2.189163759773e+00      -2.189448595029e+00      -9.618468382163e-01      -2.188603326613e+00 
       6.974489386235e-04      -1.012162255743e+00      -2.291868341160e+00      -2.292177226668e+00      -9.563462350510e-01      -2.291256848499e+00 
       7.136946113671e-04      -1.007455255324e+00      -2.399371510704e+00      -2.399706315993e+00      -9.488464900418e-01      -2.398705992995e+00 
